text,depression,anxiety,stress
I hate myself,0,0,1
I'm burnt out,0,0,1
I had lunch today,0,0,0
I'm tired of everything,0,0,1
Nothing makes me happy,1,0,1
Deadlines are killing me,0,0,1
I feel nervous,0,1,0
I can't focus,0,0,1
I feel stuck,0,0,1
I can't focus,0,0,1
Work pressure is too much,0,0,1
I'm burnt out,1,1,1
Everything scares me,0,1,0
I'm panicking,0,1,1
Watching a movie now,0,0,0
I overthink everything,0,1,1
life feels pointless,1,1,1
I can't calm down,0,1,0
Everything scares me,1,1,1
I feel nervous,0,1,0
I'm tired of everything,0,0,1
I can't sleep,1,0,0
I'm tired of everything,1,0,1
I'm panicking,0,1,0
Too much workload,1,0,0
I'm exhausted mentally,1,0,0
I feel nervous,0,1,0
I can't focus,0,0,1
I feel empty,1,0,1
I'm panicking,0,1,0
I feel overwhelmed,0,1,0
I'm burnt out,0,0,1
I can't focus,0,0,0
Work pressure is too much,0,0,1
I'm exhausted mentally,1,0,0
I feel stuck,0,0,1
I feel nervous,0,1,0
I'm tired of everything,0,0,1
I feel stuck,0,0,1
I feel stuck,0,0,1
I had lunch today,0,0,0
Deadlines are killing me,0,0,1
I'm burnt out,0,0,1
Nothing makes me happy,1,0,0
I'm burnt out,0,0,1
Work pressure is too much,0,0,1
I'm tired of everything,0,0,1
Too much workload,0,0,1
I feel empty,1,0,1
I can't sleep,1,1,0
life feels pointless,1,0,1
I can't focus,0,0,1
I can't sleep,1,0,1
I overthink everything,0,1,0
life feels pointless,1,0,1
I'm panicking,0,1,0
I feel nervous,0,1,1
Nothing makes me happy,1,0,0
I feel empty,0,0,0
My heart is racing,0,1,1
I hate myself,1,0,1
I can't focus,0,0,1
I can't focus,0,0,1
I'm exhausted mentally,1,0,0
Nothing makes me happy,1,0,0
I feel empty,1,1,1
I'm panicking,1,0,1
I feel stuck,0,0,1
I had lunch today,0,0,0
I hate myself,0,0,1
I can't sleep,0,1,1
I overthink everything,0,1,0
I like music,0,0,0
Everything scares me,0,1,1
I want to disappear,0,1,0
I can't calm down,0,1,0
I can't calm down,0,1,1
I can't sleep,1,0,0
I can't calm down,0,1,0
I'm tired of everything,0,0,1
I overthink everything,0,1,0
My heart is racing,0,1,1
I'm exhausted mentally,1,0,0
Reading a book,0,0,0
Watching a movie now,0,0,0
I hate myself,1,0,1
Watching a movie now,0,0,0
I overthink everything,0,0,1
I'm panicking,0,1,0
I overthink everything,0,1,0
I'm tired of everything,0,0,1
I'm exhausted mentally,1,0,0
I can't focus,0,0,1
I overthink everything,0,0,1
I had lunch today,0,0,0
I hate myself,1,0,0
I'm tired of everything,0,0,1
I'm burnt out,1,1,1
Too much workload,0,0,1
I feel overwhelmed,0,1,1
Work pressure is too much,0,0,1
My heart is racing,0,0,0
I want to disappear,1,0,1
I'm exhausted mentally,1,0,0
I'm burnt out,0,0,1
I can't calm down,0,1,1
life feels pointless,1,0,0
I'm burnt out,0,0,1
Deadlines are killing me,0,0,1
I overthink everything,0,0,0
I'm panicking,0,1,1
I'm tired of everything,0,0,1
I'm exhausted mentally,1,1,1
I can't calm down,0,0,1
I can't focus,0,0,1
I'm tired of everything,0,0,1
Nothing makes me happy,1,0,1
I can't sleep,1,0,0
I'm exhausted mentally,1,0,0
Everything scares me,0,1,1
life feels pointless,1,0,1
I feel stuck,0,0,1
Too much workload,0,0,1
I can't focus,0,0,1
I'm panicking,0,1,1
I feel overwhelmed,0,1,0
I'm exhausted mentally,1,1,0
I feel empty,1,1,0
I had lunch today,0,0,0
I'm exhausted mentally,1,0,1
Deadlines are killing me,0,0,1
Everything scares me,0,1,0
I feel nervous,0,1,0
My heart is racing,0,1,1
I can't focus,0,0,1
I feel empty,1,0,0
I'm tired of everything,0,0,1
I feel overwhelmed,0,1,0
life feels pointless,1,0,1
Just chilling,0,0,0
I'm exhausted mentally,1,0,0
life feels pointless,1,0,0
Too much workload,0,0,1
I'm burnt out,0,0,1
I feel overwhelmed,0,1,0
I hate myself,1,0,0
I feel overwhelmed,0,1,1
I want to disappear,1,0,0
I feel nervous,0,1,1
Deadlines are killing me,1,1,0
Too much workload,0,1,1
I can't sleep,1,0,1
Watching a movie now,0,0,0
I feel nervous,0,1,1
I feel empty,1,0,1
I had lunch today,0,0,0
I can't calm down,1,1,1
I'm burnt out,0,0,1
I hate myself,1,0,0
I feel overwhelmed,0,1,0
life feels pointless,1,0,0
I want to disappear,1,0,1
The weather is nice,0,0,0
I'm burnt out,0,0,1
I overthink everything,0,1,0
I can't focus,0,0,1
My heart is racing,0,1,0
I feel overwhelmed,0,1,0
I feel empty,1,0,0
Reading a book,0,0,0
I'm burnt out,0,0,1
Just chilling,0,0,0
I'm exhausted mentally,1,0,0
I overthink everything,0,1,1
I feel empty,1,0,1
Nothing makes me happy,1,0,1
I can't calm down,0,1,0
life feels pointless,1,0,0
Everything scares me,0,1,0
I'm panicking,0,1,0
Everything scares me,0,1,1
life feels pointless,1,0,1
Watching a movie now,0,0,0
I like music,0,0,0
I feel nervous,0,1,0
The weather is nice,0,0,0
I feel nervous,0,1,0
life feels pointless,1,0,0
I'm exhausted mentally,1,0,0
I can't sleep,1,0,0
I hate myself,1,0,1
I feel overwhelmed,0,1,1
life feels pointless,1,0,1
Everything scares me,0,1,0
I'm burnt out,0,0,1
life feels pointless,1,0,1
I can't sleep,1,0,1
Work pressure is too much,0,0,1
Nothing makes me happy,1,0,0
life feels pointless,1,0,0
Deadlines are killing me,0,0,1
Deadlines are killing me,0,0,1
My heart is racing,0,1,0
I'm exhausted mentally,1,0,1
Everything scares me,0,1,1
I want to disappear,1,0,1
Nothing makes me happy,1,0,0
life feels pointless,1,0,0
I'm exhausted mentally,1,0,1
I feel empty,1,0,0
I feel stuck,0,0,1
I feel empty,1,0,0
I can't focus,0,0,1
I can't focus,0,0,1
Everything scares me,0,1,0
I can't focus,0,0,1
Nothing makes me happy,1,0,0
The weather is nice,0,0,0
I feel empty,1,0,0
I can't focus,0,0,1
I'm panicking,0,1,1
life feels pointless,0,1,1
I feel stuck,0,0,1
Work pressure is too much,0,0,1
life feels pointless,1,0,0
Work pressure is too much,0,0,1
I'm burnt out,0,0,1
I'm exhausted mentally,1,0,0
I feel nervous,0,1,1
I can't focus,0,0,1
Reading a book,0,0,0
The weather is nice,0,0,0
I hate myself,1,0,0
Too much workload,0,0,1
I want to disappear,1,0,0
I'm exhausted mentally,1,0,0
I'm panicking,0,1,0
I'm tired of everything,0,0,1
I'm tired of everything,0,0,1
Work pressure is too much,0,0,1
I can't focus,0,0,1
Deadlines are killing me,0,0,1
I feel nervous,1,1,1
Watching a movie now,0,0,0
I can't sleep,1,0,0
My heart is racing,1,1,1
I can't sleep,1,0,1
I had lunch today,0,0,0
Work pressure is too much,0,0,1
I feel nervous,0,1,1
life feels pointless,1,0,1
Work pressure is too much,0,0,1
I'm panicking,0,1,0
Watching a movie now,0,0,0
Work pressure is too much,0,0,1
Nothing makes me happy,1,0,0
I'm exhausted mentally,0,1,1
Work pressure is too much,0,0,1
I'm burnt out,0,0,1
I want to disappear,1,1,0
I can't calm down,0,0,1
I hate myself,1,0,0
I feel overwhelmed,0,1,0
I feel empty,1,0,0
I feel stuck,0,0,1
I'm burnt out,0,0,1
I'm panicking,0,1,0
I'm exhausted mentally,1,0,0
I feel overwhelmed,0,1,0
My heart is racing,0,1,1
I overthink everything,0,1,0
I can't sleep,1,1,1
I'm burnt out,0,0,1
Everything scares me,0,1,0
I had lunch today,0,0,0
I feel overwhelmed,0,1,0
I'm panicking,0,0,0
I'm panicking,0,1,1
I'm panicking,0,1,0
I hate myself,1,0,0
Just chilling,0,0,0
I can't calm down,0,1,1
I can't sleep,1,0,0
Just chilling,0,0,0
I can't focus,0,0,1
My heart is racing,0,1,0
I feel empty,1,0,0
Nothing makes me happy,1,0,0
Nothing makes me happy,1,0,0
I feel nervous,1,1,0
I feel stuck,0,0,1
Watching a movie now,0,0,0
I hate myself,1,0,0
I'm burnt out,0,0,1
I feel nervous,0,1,0
My heart is racing,0,1,0
I'm burnt out,0,0,1
I can't focus,0,0,1
I'm burnt out,0,0,1
Work pressure is too much,1,0,1
The weather is nice,0,0,0
life feels pointless,1,0,1
I can't sleep,1,0,1
Deadlines are killing me,0,0,1
I'm panicking,0,1,0
I want to disappear,1,0,0
Going for a walk,0,0,0
I feel empty,1,0,0
Nothing makes me happy,1,0,0
Watching a movie now,0,0,0
I'm exhausted mentally,1,0,0
I'm tired of everything,0,0,1
I'm burnt out,0,0,1
I like music,0,0,0
Everything scares me,0,1,0
I hate myself,1,0,0
I feel empty,1,0,1
I'm exhausted mentally,1,0,0
I can't focus,1,1,1
I hate myself,1,0,0
Nothing makes me happy,1,0,0
I can't sleep,1,0,1
I can't calm down,0,1,1
I can't sleep,1,0,1
Watching a movie now,0,0,0
Everything scares me,1,0,1
I'm exhausted mentally,1,0,0
I feel stuck,0,0,1
I hate myself,1,0,0
I overthink everything,0,1,1
I hate myself,1,0,0
Just chilling,0,0,0
Nothing makes me happy,1,0,0
My heart is racing,0,1,1
My heart is racing,0,1,0
I'm tired of everything,0,0,1
I'm tired of everything,0,0,1
life feels pointless,1,1,1
Deadlines are killing me,0,0,1
I'm panicking,0,0,0
Everything scares me,0,1,0
I want to disappear,1,0,1
I feel stuck,0,0,1
Everything scares me,0,1,1
I had lunch today,0,0,0
I'm tired of everything,0,0,1
Just chilling,0,0,0
Nothing makes me happy,1,0,0
Too much workload,0,0,1
I can't calm down,0,1,0
life feels pointless,1,0,1
I'm burnt out,0,0,1
I can't focus,0,0,1
I'm tired of everything,0,0,1
My heart is racing,0,1,1
Nothing makes me happy,1,0,1
I feel nervous,0,1,1
I like music,0,0,0
Too much workload,0,0,1
I can't sleep,1,0,1
I feel empty,1,0,0
I'm tired of everything,0,0,1
I feel empty,1,0,1
Going for a walk,0,0,0
I'm panicking,0,0,0
I had lunch today,0,0,0
I like music,0,0,0
I want to disappear,1,0,0
Deadlines are killing me,0,0,1
I hate myself,1,0,0
I feel stuck,0,0,1
Deadlines are killing me,0,0,1
Just chilling,0,0,0
Work pressure is too much,0,0,1
Everything scares me,0,1,1
I'm tired of everything,0,0,1
I'm exhausted mentally,1,0,1
I feel empty,1,0,1
Deadlines are killing me,0,0,1
I'm panicking,0,1,1
Everything scares me,0,1,0
I'm exhausted mentally,1,1,1
I overthink everything,1,0,1
I feel nervous,0,1,0
I'm panicking,0,1,0
life feels pointless,1,0,0
I'm exhausted mentally,1,0,0
I feel overwhelmed,0,1,0
I'm exhausted mentally,1,0,1
I can't calm down,0,1,0
Everything scares me,0,1,0
I'm panicking,0,1,1
I can't sleep,1,0,1
I hate myself,1,0,0
Deadlines are killing me,0,0,1
My heart is racing,0,1,0
I feel nervous,0,1,0
I'm burnt out,0,0,1
Watching a movie now,0,0,0
Work pressure is too much,0,0,1
Going for a walk,0,0,0
My heart is racing,0,1,1
I'm burnt out,0,1,0
I'm burnt out,1,1,1
Nothing makes me happy,1,0,0
I can't focus,0,0,1
Deadlines are killing me,0,1,1
My heart is racing,0,1,0
I can't sleep,1,0,0
Work pressure is too much,0,0,1
Work pressure is too much,0,0,1
I hate myself,1,0,0
Everything scares me,0,1,0
I'm panicking,1,0,0
My heart is racing,0,1,0
I'm exhausted mentally,1,0,0
Reading a book,0,0,0
I hate myself,1,0,0
Deadlines are killing me,0,0,1
Too much workload,0,0,1
I feel nervous,0,1,0
Deadlines are killing me,0,1,1
I want to disappear,0,1,0
I overthink everything,0,1,0
I can't calm down,1,0,1
Watching a movie now,0,0,0
I'm exhausted mentally,1,0,0
Everything scares me,0,1,0
Deadlines are killing me,1,1,0
I want to disappear,1,0,1
I'm burnt out,0,0,1
I'm burnt out,0,0,1
Everything scares me,0,1,1
Too much workload,0,0,1
I feel stuck,1,1,1
Going for a walk,0,0,0
Nothing makes me happy,1,0,1
I overthink everything,0,1,0
I want to disappear,1,0,0
I can't focus,0,0,1
I can't sleep,1,0,1
I had lunch today,0,0,0
I can't focus,0,0,1
I overthink everything,1,1,0
I can't sleep,1,0,0
I can't calm down,0,1,1
Everything scares me,0,1,0
life feels pointless,0,1,0
Too much workload,0,0,1
I feel stuck,0,0,1
Too much workload,1,0,1
I can't calm down,0,1,1
Everything scares me,0,1,1
Going for a walk,0,0,0
Watching a movie now,0,0,0
I hate myself,1,0,0
I can't calm down,0,1,0
I can't calm down,0,1,0
I'm panicking,0,1,1
I can't focus,0,0,1
I'm tired of everything,0,1,0
I overthink everything,0,1,0
I'm exhausted mentally,1,0,0
Nothing makes me happy,1,0,1
I want to disappear,1,0,0
I'm tired of everything,0,0,1
I'm burnt out,0,0,1
I'm panicking,0,1,0
I can't focus,0,0,1
My heart is racing,0,1,1
I had lunch today,0,0,0
Just chilling,0,0,0
Too much workload,0,0,1
I feel empty,1,0,0
I feel nervous,0,1,1
I can't focus,0,0,1
I'm tired of everything,0,0,1
The weather is nice,0,0,0
I'm burnt out,0,0,1
My heart is racing,0,1,1
Deadlines are killing me,0,0,1
My heart is racing,0,1,0
I can't calm down,0,1,0
I want to disappear,1,0,0
I want to disappear,1,0,0
I'm exhausted mentally,1,0,0
I feel overwhelmed,0,1,0
I overthink everything,0,1,0
Work pressure is too much,0,0,1
Going for a walk,0,0,0
Everything scares me,0,1,1
I feel overwhelmed,0,1,0
I can't focus,0,0,1
I overthink everything,0,1,0
I feel overwhelmed,0,1,0
I can't focus,0,0,1
Reading a book,0,0,0
I feel stuck,0,0,1
I can't sleep,1,1,0
I can't focus,0,0,1
Work pressure is too much,0,0,1
I feel nervous,0,1,1
I feel nervous,0,1,0
I feel overwhelmed,0,1,1
I'm panicking,0,1,0
I feel stuck,0,0,1
Nothing makes me happy,1,0,0
I feel empty,1,0,1
I can't focus,0,0,1
I can't sleep,1,0,0
My heart is racing,0,1,0
I can't focus,0,0,1
Going for a walk,0,0,0
My heart is racing,0,1,0
I'm exhausted mentally,1,0,0
I feel stuck,0,0,1
Deadlines are killing me,0,0,1
I'm burnt out,0,0,1
life feels pointless,1,0,0
Nothing makes me happy,1,0,0
life feels pointless,0,1,1
I overthink everything,0,1,0
I'm tired of everything,0,0,1
Watching a movie now,0,0,0
Deadlines are killing me,0,0,1
I hate myself,1,0,0
I hate myself,1,0,0
life feels pointless,1,0,0
Just chilling,0,0,0
I'm tired of everything,1,1,0
I had lunch today,0,0,0
I overthink everything,0,1,0
I'm panicking,0,1,0
I can't calm down,0,1,0
My heart is racing,0,1,0
I feel nervous,0,1,0
life feels pointless,1,0,0
I can't sleep,1,0,0
I'm exhausted mentally,1,0,0
Everything scares me,0,1,1
I'm tired of everything,0,0,1
life feels pointless,1,0,1
I hate myself,1,0,1
I want to disappear,1,0,0
I feel stuck,0,0,1
Everything scares me,0,1,0
Reading a book,0,0,0
I overthink everything,0,1,0
Just chilling,0,0,0
I feel empty,1,0,0
I'm exhausted mentally,1,0,0
I'm exhausted mentally,1,0,0
I'm tired of everything,0,0,1
My heart is racing,0,1,0
I can't focus,0,0,1
I can't sleep,1,0,1
I can't focus,0,0,1
Everything scares me,0,1,1
I feel overwhelmed,0,1,0
I'm panicking,0,1,0
Reading a book,0,0,0
Everything scares me,0,1,0
Everything scares me,0,1,1
I feel stuck,0,0,1
Just chilling,0,0,0
Deadlines are killing me,0,0,1
I feel stuck,0,0,1
I feel empty,1,0,1
Reading a book,0,0,0
I feel overwhelmed,0,1,0
life feels pointless,1,0,1
I'm exhausted mentally,1,0,0
I'm burnt out,1,0,0
life feels pointless,1,0,0
I can't calm down,0,1,0
I feel stuck,0,1,0
I want to disappear,1,0,0
I'm burnt out,0,0,1
I feel nervous,0,1,0
I'm burnt out,0,0,1
I feel stuck,0,0,0
Everything scares me,1,1,1
Work pressure is too much,0,0,1
I'm exhausted mentally,1,0,0
life feels pointless,1,0,0
I can't calm down,0,0,0
I'm tired of everything,0,0,1
I want to disappear,1,0,0
I'm tired of everything,0,0,1
I can't sleep,1,0,1
I'm exhausted mentally,1,0,0
I'm burnt out,0,0,1
Work pressure is too much,0,0,1
I feel overwhelmed,0,1,0
I feel overwhelmed,1,1,1
I'm burnt out,0,0,1
I can't sleep,1,1,1
The weather is nice,0,0,0
Too much workload,0,0,1
I'm burnt out,0,1,0
I'm exhausted mentally,1,0,0
I feel stuck,0,0,1
Going for a walk,0,0,0
Too much workload,1,1,0
I feel empty,1,0,0
I'm exhausted mentally,0,1,1
I can't focus,0,0,1
I can't calm down,1,0,0
Reading a book,0,0,0
I hate myself,1,0,0
I hate myself,1,0,0
Too much workload,0,0,1
I can't calm down,0,1,1
I hate myself,1,0,1
I feel overwhelmed,0,1,0
Everything scares me,0,1,0
Deadlines are killing me,0,0,1
I can't sleep,1,0,1
I'm exhausted mentally,1,1,1
I can't sleep,1,0,0
I feel stuck,0,0,1
I'm panicking,0,1,0
Too much workload,1,1,0
Everything scares me,0,1,0
Nothing makes me happy,1,0,0
I can't calm down,0,1,0
I'm burnt out,0,0,1
life feels pointless,1,0,0
I overthink everything,0,1,0
I feel overwhelmed,0,1,0
I'm exhausted mentally,1,0,0
Too much workload,0,0,1
I overthink everything,0,1,1
Work pressure is too much,0,0,1
I'm burnt out,0,0,1
I feel stuck,0,0,1
I feel overwhelmed,0,1,1
I'm burnt out,0,1,0
I hate myself,1,0,0
I hate myself,1,0,1
Just chilling,0,0,0
Watching a movie now,0,0,0
I'm burnt out,0,0,1
Nothing makes me happy,1,0,0
I feel stuck,0,0,1
I want to disappear,1,0,1
life feels pointless,1,0,0
Nothing makes me happy,1,0,0
Too much workload,0,0,1
Work pressure is too much,0,0,0
I hate myself,1,0,1
I want to disappear,1,0,0
Too much workload,0,0,1
Everything scares me,0,1,0
Too much workload,0,0,1
I'm exhausted mentally,1,0,0
I'm tired of everything,0,0,1
life feels pointless,1,1,1
I can't calm down,0,1,0
Going for a walk,0,0,0
Just chilling,0,0,0
I hate myself,1,0,0
The weather is nice,0,0,0
I feel stuck,0,0,1
I'm tired of everything,0,0,1
I can't calm down,0,1,0
I'm tired of everything,0,0,1
I can't focus,0,0,1
Deadlines are killing me,0,0,1
I'm tired of everything,0,0,1
I feel empty,1,0,1
My heart is racing,0,1,0
Too much workload,0,0,1
I'm panicking,1,1,1
I feel empty,1,0,0
I'm panicking,0,1,0
I feel overwhelmed,0,1,1
Too much workload,0,0,1
I'm burnt out,0,0,1
I feel stuck,0,1,1
Work pressure is too much,0,0,1
I feel overwhelmed,0,1,0
I like music,0,0,0
I'm exhausted mentally,1,0,0
I want to disappear,1,0,0
I'm exhausted mentally,1,0,1
Nothing makes me happy,1,0,0
Work pressure is too much,0,0,1
Work pressure is too much,0,0,1
Watching a movie now,0,0,0
My heart is racing,0,1,0
I feel stuck,0,0,1
I'm burnt out,0,0,1
I feel nervous,0,1,1
The weather is nice,0,0,0
I can't focus,0,0,1
I can't sleep,1,0,0
I had lunch today,0,0,0
I like music,0,0,0
I had lunch today,0,0,0
I want to disappear,1,0,1
I hate myself,1,0,1
I can't calm down,1,1,0
I'm tired of everything,0,0,1
I'm panicking,1,1,1
I want to disappear,1,0,0
I feel overwhelmed,0,1,0
Too much workload,0,0,1
Deadlines are killing me,0,0,1
Watching a movie now,0,0,0
I overthink everything,0,1,0
I'm burnt out,1,0,0
I had lunch today,0,0,0
Nothing makes me happy,1,0,0
Everything scares me,0,1,1
I feel nervous,0,1,0
I'm burnt out,0,0,1
I feel empty,1,0,0
I'm burnt out,0,0,1
My heart is racing,0,1,0
I can't sleep,1,0,0
I'm tired of everything,0,0,1
I can't sleep,1,0,0
I want to disappear,0,1,1
I feel empty,1,0,1
I feel empty,1,0,1
I can't calm down,0,1,0
I hate myself,1,0,0
I like music,0,0,0
I overthink everything,0,1,1
I'm panicking,0,1,0
I overthink everything,0,1,1
I'm burnt out,0,0,1
I feel overwhelmed,1,1,1
I hate myself,1,1,0
I'm tired of everything,0,0,1
Deadlines are killing me,0,0,1
I can't calm down,0,1,0
I'm exhausted mentally,1,0,0
Too much workload,0,0,0
Too much workload,0,0,1
Deadlines are killing me,0,0,1
The weather is nice,0,0,0
I can't calm down,0,1,0
I'm panicking,0,1,1
I hate myself,1,0,1
I can't focus,0,0,1
I can't focus,0,0,1
life feels pointless,1,0,0
Everything scares me,0,1,1
Too much workload,0,0,1
I feel stuck,0,0,1
Going for a walk,0,0,0
Watching a movie now,0,0,0
I hate myself,1,0,0
I feel overwhelmed,0,1,0
Nothing makes me happy,1,0,0
I'm burnt out,0,0,1
The weather is nice,0,0,0
I can't sleep,1,0,0
I feel overwhelmed,0,1,1
I'm panicking,0,1,0
My heart is racing,0,1,0
I hate myself,1,0,0
I had lunch today,0,0,0
I feel overwhelmed,0,1,0
I feel empty,1,0,0
Work pressure is too much,0,0,1
I feel nervous,1,1,0
life feels pointless,1,0,0
I feel stuck,0,0,1
I'm panicking,0,1,0
I feel stuck,1,1,1
My heart is racing,0,1,1
I want to disappear,1,0,0
Everything scares me,0,1,0
life feels pointless,1,0,0
I can't focus,0,0,1
I feel nervous,0,1,1
I feel overwhelmed,0,1,0
I can't focus,0,0,1
I can't focus,1,1,1
My heart is racing,0,1,0
I feel nervous,0,0,0
I feel stuck,0,0,1
I'm panicking,0,1,0
I'm panicking,0,1,0
Work pressure is too much,0,0,1
I'm burnt out,0,0,1
Deadlines are killing me,0,0,1
I overthink everything,0,1,0
I'm panicking,0,1,0
I'm exhausted mentally,1,0,0
Too much workload,0,0,1
I had lunch today,0,0,0
Just chilling,0,0,0
I can't calm down,1,1,1
I'm burnt out,0,0,1
I hate myself,1,0,1
Everything scares me,0,1,0
I feel stuck,1,1,1
I want to disappear,1,0,0
Nothing makes me happy,1,0,0
I feel nervous,0,1,0
I want to disappear,1,1,1
I'm tired of everything,0,0,1
life feels pointless,1,0,0
My heart is racing,0,1,0
I'm tired of everything,0,0,1
I can't calm down,0,1,0
Work pressure is too much,0,0,1
I can't focus,0,0,1
I feel empty,1,0,0
My heart is racing,0,1,1
I'm panicking,0,1,1
My heart is racing,0,1,0
I feel empty,1,0,0
Deadlines are killing me,0,0,1
Deadlines are killing me,0,0,1
My heart is racing,0,1,1
Deadlines are killing me,0,0,1
I feel overwhelmed,0,1,1
I want to disappear,1,0,0
Work pressure is too much,0,0,1
I can't calm down,1,1,1
Too much workload,0,0,1
life feels pointless,0,1,0
Just chilling,0,0,0
Work pressure is too much,0,0,1
Everything scares me,0,1,0
I feel nervous,0,1,1
I feel nervous,0,1,0
I want to disappear,1,0,1
I'm burnt out,0,0,1
I'm panicking,0,1,1
Nothing makes me happy,1,0,0
I'm tired of everything,1,0,0
I hate myself,1,0,0
I'm burnt out,1,1,1
I'm tired of everything,0,0,1
My heart is racing,0,1,0
I want to disappear,1,0,0
I overthink everything,0,1,0
I feel stuck,0,1,1
I can't focus,0,0,1
Watching a movie now,0,0,0
I overthink everything,0,1,1
Nothing makes me happy,1,0,1
My heart is racing,0,1,0
Deadlines are killing me,0,0,1
Everything scares me,0,1,0
I hate myself,1,1,0
I had lunch today,0,0,0
Just chilling,0,0,0
I feel empty,1,0,1
Everything scares me,0,1,1
I'm tired of everything,0,0,1
I can't focus,0,0,1
I overthink everything,0,1,0
Too much workload,0,0,1
I want to disappear,1,0,0
Everything scares me,0,1,1
I want to disappear,1,0,1
Everything scares me,0,1,1
I'm panicking,0,1,1
Going for a walk,0,0,0
I can't calm down,0,1,0
I can't focus,0,0,1
I feel empty,1,0,0
I can't focus,0,0,1
I can't focus,1,0,1
I feel empty,1,0,0
Everything scares me,0,1,0
I'm burnt out,0,0,1
I like music,0,0,0
life feels pointless,1,0,1
I feel stuck,0,0,1
I want to disappear,1,0,0
I feel overwhelmed,0,1,1
I'm burnt out,0,1,1
Nothing makes me happy,1,0,0
I'm burnt out,0,0,1
I like music,0,0,0
life feels pointless,1,0,0
I feel stuck,0,0,1
Just chilling,0,0,0
I can't sleep,1,0,0
I feel stuck,0,1,1
I'm exhausted mentally,0,0,0
life feels pointless,1,0,1
My heart is racing,0,1,0
Nothing makes me happy,1,0,0
I feel overwhelmed,0,1,0
I can't sleep,1,0,0
Work pressure is too much,0,0,1
I hate myself,0,1,1
I feel empty,1,0,1
Too much workload,0,0,1
life feels pointless,1,0,0
I feel empty,1,0,1
I want to disappear,0,0,1
I can't focus,0,0,1
I feel stuck,0,0,1
Everything scares me,0,1,0
I overthink everything,0,1,0
I feel overwhelmed,0,1,0
I feel nervous,0,1,1
Too much workload,0,0,1
Nothing makes me happy,1,1,1
I want to disappear,1,0,0
I hate myself,1,0,0
My heart is racing,0,1,0
I can't sleep,1,0,0
I'm burnt out,0,0,1
Nothing makes me happy,1,1,1
Nothing makes me happy,1,1,0
Too much workload,0,0,1
I can't focus,0,0,1
I can't focus,0,0,1
Everything scares me,0,1,0
I hate myself,1,0,1
I'm burnt out,1,1,1
Nothing makes me happy,1,0,1
I feel empty,1,0,0
I'm burnt out,0,0,1
Too much workload,0,0,1
I feel nervous,0,1,0
Deadlines are killing me,0,0,1
I want to disappear,1,0,0
I can't sleep,1,0,1
I'm burnt out,0,0,1
I can't focus,0,0,1
I feel nervous,1,0,0
Everything scares me,0,1,0
I want to disappear,1,0,0
I feel stuck,1,0,0
My heart is racing,0,0,1
I can't sleep,1,1,0
I'm exhausted mentally,1,0,0
Work pressure is too much,0,0,1
I can't calm down,0,1,0
Nothing makes me happy,1,0,0
I feel stuck,0,0,1
Just chilling,0,0,0
I feel nervous,0,1,1
Too much workload,0,0,1
I feel nervous,0,1,0
I had lunch today,0,0,0
Watching a movie now,0,0,0
I can't sleep,1,0,0
I can't focus,0,0,1
I feel empty,1,0,1
The weather is nice,0,0,0
Deadlines are killing me,0,0,1
I feel overwhelmed,0,1,1
I want to disappear,1,0,0
Everything scares me,0,1,0
I can't calm down,0,1,0
I can't sleep,1,0,0
I feel empty,1,1,0
I had lunch today,0,0,0
I want to disappear,1,0,0
Too much workload,0,0,1
I feel nervous,0,1,1
life feels pointless,1,0,1
Work pressure is too much,0,0,1
I feel nervous,0,1,0
I want to disappear,1,0,0
My heart is racing,0,1,0
life feels pointless,1,0,0
I'm burnt out,0,0,1
I overthink everything,0,1,0
I'm panicking,0,1,1
Too much workload,0,0,1
I overthink everything,0,1,0
I'm panicking,0,1,0
I hate myself,1,0,0
I can't calm down,0,1,0
I'm panicking,0,1,1
I overthink everything,0,1,0
I can't calm down,0,1,1
I hate myself,1,0,1
I can't calm down,0,1,1
Everything scares me,1,1,1
I want to disappear,1,0,0
life feels pointless,1,0,0
The weather is nice,0,0,0
Everything scares me,0,1,0
Reading a book,0,0,0
I can't calm down,0,1,0
I hate myself,1,0,1
I can't calm down,0,1,0
I'm panicking,1,1,1
I can't sleep,1,0,1
life feels pointless,1,0,0
I'm tired of everything,0,0,1
Work pressure is too much,0,0,1
My heart is racing,0,1,0
I feel nervous,0,1,0
I want to disappear,1,0,0
